Series Name,Series Code,Country Name,Country Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,10.5030556606265,12.400827125348,11.3675605148059,10.6816895087141,10.1961363969624,9.20013638767274,9.01672865228997,10.4170865946518,11.9375327722496,13.2419475498642,13.8636944721676,13.1868729608637,12.8306144561331,12.0036939283982,10.0882370407902,7.79266709561583,6.58861289103516,8.47203357688161,9.87576950916712,9.76786177811366,9.95748174834965,10.0342647860915,8.85353000894857,7.80825458642891,6.4812259957124,5.28452618235401,4.30700300384298,3.77380874354654,4.36718757660093,4.4592828919582,3.97895248512019,4.01585545493201
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,4.33175353501039,..,..,..,..,..,5.42024165210368,..,..,..,..,5.90953171406531,..,..,..,..,4.9255326631769,..,5.0291583023448,..,..,..,..,..,7.02818090637003,6.43357914117323,7.57217592998553,6.62540052479177,5.6291800754519,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,2.61159550671839,2.61079590304957,2.86426191254189,3.15492286714989,3.10319151003468,3.26661320735964,3.35546076560655,3.70229038876591,3.77585633076695,4.14208684592672,3.89770978663551,4.2991940964437,4.38027731597812,4.36136154221181,4.45709078245879,4.34126549642427,4.16252959511517,4.31976693527836,4.28392566242706,4.01325763001325,3.91469132726014,3.83184076371875,3.76251258907058,3.76232411745414,..,..,3.52333212263756,4.19233698607104,4.21516313104628,4.71144237778686,4.43897914308259,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,2.57302268410869,2.54755732537378,2.79337282594624,3.11675079084072,3.05481136940462,3.22649867336014,3.3199922988108,3.54433215296605,3.59907821091278,4.07212338320998,3.78660114391197,4.20952361819514,4.31339082083328,4.33609703637017,4.47076356845334,4.37385128604716,4.20741327081824,4.38142049253216,4.22861170708231,3.94070068909289,3.88041643770861,3.80418968817855,3.74560012483502,3.76016541697012,..,..,3.53304133351441,4.29999364770044,4.34015999283051,4.82754368925914,4.55199433888512,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,2.57302268410869,2.54755732537378,2.79337282594624,3.11675079084072,3.05481136940462,3.22649867336014,3.3199922988108,3.54433215296605,3.59907821091278,4.07212338320999,3.78660114391197,4.20952361819514,4.31339082083328,4.33609703637017,4.47076356845334,4.37385128604716,4.20741327081824,4.38142049253216,4.22861170708231,3.94070068909289,3.88041643770861,3.80418968817855,3.74560012483502,3.76016541697012,..,..,3.53304133351441,4.29999364770044,4.34015999283051,4.82754368925914,4.55199433888512,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,8.39848625343062,8.99486314961592,10.6224388491065,11.7723547398182,11.4041555531724,11.6602864809535,11.6604524989173,11.2409236208331,10.4888579341097,9.50337959947668,8.44286898744612,8.69742326378935,9.02992552226806,9.29445887257322,9.15916420369069,8.43775696191067,7.54540979159824,7.55006026246433,9.63675584189225,10.17913057952,10.2631930600338,11.4197209169598,11.9991867842113,11.6293469470416,10.8901660643112,10.0285940585836,9.06619559634617,8.16123141639641,7.51635583043534,7.83252265261382,7.72367571142939,6.74422157053229,6.55916287126442
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,7.70059444500783,8.82141994756045,9.76612382943048,9.49211701360565,9.8405041674772,10.1561632522364,10.3240494859463,10.3875081368802,9.19900020145069,8.61597154424379,8.64382425550551,8.72889213154923,8.67492047869891,8.36343674579104,7.91973924734525,7.18599585752326,7.14878039961321,9.08082822706278,9.1561360435499,8.81094756869072,9.02703516622279,9.22416945243101,8.90617049811028,8.52091935698756,8.09166764974869,7.48828299159663,6.97688297445699,6.72085455363211,7.04737533478882,6.91633151031485,5.8094183095147,5.55690728013967
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5058737416287,7.79053055788828,8.33382520734285,9.35035405771647,10.6344504315394,8.57586112579526,8.72229526014648,8.78506798131076,8.60498086774043,8.4404659766688,7.95155446943193,8.02533480434969,8.3535284989069,8.54338350013874,10.3008422049014,9.76528091481384,8.71493475729156,8.40220377552761,8.3567387238438,8.78555611014367,8.80359464109286,9.13450523890127,9.01799662973678,9.08499328576623,9.61662844130164,9.1719459956279,9.86968586574939,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,6.52013269486417,6.99553438680377,8.38750220901793,8.51567834094639,9.05401855183688,9.88419830563729,10.7580182384447,11.5626627964023,10.0226481767764,9.83938300240989,9.65863575505847,9.52446465522838,9.18890179715448,8.55061627827313,8.17501570476985,7.46317344873984,7.33763368952589,9.14039896812976,8.74183429816488,8.00779019079321,7.52081261796416,7.57685067239813,7.52212954988107,7.50798887782645,7.45458029833486,7.08916372433293,6.83933007271892,6.90012151730969,7.09923757643836,6.8252800969768,5.54321417466248,4.95211430879536
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,European Union,EUU,..,..,..,..,..,..,..,..,..,..,8.13608829341532,9.29489227654985,10.9512155713085,11.5190533327186,11.043685700097,11.1110175913363,10.8997421164928,10.4901502412492,10.192736775132,9.70156455676986,9.20817800075283,9.57999019578908,9.70704205347749,9.86028266958496,9.63949046122923,8.69228459540501,7.50604300609866,7.24170553255369,9.19997985451374,9.8651170256935,9.92065846048359,10.8633799145437,11.3365817939541,10.8184432004377,10.0182374996701,9.10211959760584,8.12801281124539,7.25392479665818,6.68232951295419,7.05004542378661,7.0173835142112,6.1405570544667,6.02835465080838
